freq,psd_x,psd_y,psd_z,psd_xyz
181.3,1.023e+02,3.731e+01,1.769e+02,3.165e+02
182.9,1.150e+02,3.278e+01,1.539e+02,3.017e+02
184.5,1.394e+02,3.978e+01,1.339e+02,3.130e+02
186.0,1.993e+02,4.952e+01,1.256e+02,3.744e+02
187.6,2.655e+02,5.200e+01,1.268e+02,4.443e+02
189.1,3.216e+02,5.739e+01,1.372e+02,5.162e+02
190.7,3.605e+02,6.500e+01,1.623e+02,5.878e+02
192.3,3.560e+02,6.737e+01,1.595e+02,5.829e+02
193.8,3.370e+02,6.594e+01,1.542e+02,5.572e+02
195.4,3.068e+02,6.055e+01,1.560e+02,5.233e+02
197.0,2.785e+02,5.318e+01,1.604e+02,4.921e+02
198.5,2.538e+02,5.150e+01,1.447e+02,4.500e+02
