freq,psd_x,psd_y,psd_z,psd_xyz
167.2,4.175e+02,9.346e+01,1.507e+02,6.617e+02
168.8,5.553e+02,1.273e+02,1.527e+02,8.353e+02
170.4,7.981e+02,1.550e+02,1.465e+02,1.100e+03
171.9,9.144e+02,1.822e+02,1.367e+02,1.233e+03
173.5,8.274e+02,1.756e+02,1.191e+02,1.122e+03
175.0,8.433e+02,1.381e+02,1.177e+02,1.099e+03
176.6,1.119e+03,1.135e+02,1.140e+02,1.347e+03
178.2,1.268e+03,1.007e+02,1.080e+02,1.477e+03
179.7,1.176e+03,1.031e+02,1.025e+02,1.382e+03
181.3,1.075e+03,1.159e+02,1.110e+02,1.302e+03
182.9,9.084e+02,1.470e+02,1.203e+02,1.176e+03
184.4,7.638e+02,1.899e+02,1.398e+02,1.093e+03
186.0,8.505e+02,1.764e+02,1.424e+02,1.169e+03
187.5,9.732e+02,1.693e+02,1.516e+02,1.294e+03
189.1,1.038e+03,1.838e+02,1.472e+02,1.369e+03
190.7,7.575e+02,1.821e+02,1.386e+02,1.078e+03
192.2,4.458e+02,1.879e+02,1.196e+02,7.533e+02
193.8,2.974e+02,1.986e+02,1.086e+02,6.046e+02
195.4,2.340e+02,2.242e+02,1.116e+02,5.698e+02
196.9,2.056e+02,2.494e+02,1.057e+02,5.607e+02
198.5,1.662e+02,2.629e+02,1.030e+02,5.322e+02
